date,variant,prop_median,prop_ci_low,prop_ci_high
2022-01-07,B.1.1.7 (Alpha),3.864059092662067e-5,9.221571111808285e-6,1.3184574548736076e-4
2022-01-07,B.1.617.2 (Delta),0.16775021758375977,0.057447140400312686,0.36688567490573515
2022-01-08,B.1.1.529 (Omikron),0.8603769071379499,0.6775735827088568,0.9554818029886111
2022-01-08,B.1.1.7 (Alpha),3.260943161365973e-5,7.5580696707628285e-6,1.1541151710652566e-4
2022-01-08,B.1.617.2 (Delta),0.1395783217977191,0.044507774900788555,0.3223866899538873
2022-01-09,B.1.1.529 (Omikron),0.8845493856835591,0.7185535818103442,0.9652183911700817
2022-01-09,B.1.1.7 (Alpha),2.7111205913322036e-5,5.908747128583464e-6,9.975004817956013e-5
2022-01-09,B.1.617.2 (Delta),0.11539381988796361,0.03476514550743902,0.28131897221161095
2022-01-10,B.1.1.529 (Omikron),0.9043720149807064,0.7515026014330727,0.9727613739221439
2022-01-10,B.1.1.7 (Alpha),2.2692193104304288e-5,4.551482408452736e-6,8.749363843592354e-5
2022-01-10,B.1.617.2 (Delta),0.09558672203878586,0.027236661308472607,0.24846419411671541
2022-01-11,B.1.1.529 (Omikron),0.9213923432388843,0.7839771923489957,0.978660793932575
2022-01-11,B.1.1.7 (Alpha),1.8708180945896786e-5,3.6874002471393884e-6,7.513112460994423e-5
2022-01-11,B.1.617.2 (Delta),0.07858396340049449,0.021332743278249574,0.21599720117241936
2022-01-12,B.1.1.529 (Omikron),0.9353299447124114,0.8136401086321011,0.983388746828404
2022-01-12,B.1.1.7 (Alpha),1.5482399155233448e-5,2.93060848849751e-6,6.41866211207128e-5
2022-01-12,B.1.617.2 (Delta),0.06464730730000552,0.016607067020294016,0.18632785063950583
2022-01-13,B.1.1.529 (Omikron),0.9471015178725133,0.8393265619641167,0.987074603545237
2022-01-13,B.1.1.7 (Alpha),1.2858712911536345e-5,2.2978113477817754e-6,5.502884065237616e-5
2022-01-13,B.1.617.2 (Delta),0.05288592750467117,0.012918773168732902,0.16065543492849307
2022-01-14,B.1.1.529 (Omikron),0.9567552991161394,0.8628802002829632,0.9900154320135733
2022-01-14,B.1.1.7 (Alpha),1.0622302495827328e-5,1.7856030945301612e-6,4.750267113445772e-5
2022-01-14,B.1.617.2 (Delta),0.04323687527572828,0.009983848827150421,0.13705420250790537
2022-01-15,B.1.1.529 (Omikron),0.9647014127358153,0.8842012767546231,0.9922284575556117
2022-01-15,B.1.1.7 (Alpha),8.695948603719813e-6,1.3996993065698987e-6,4.036702129923379e-5
2022-01-15,B.1.617.2 (Delta),0.0352939943036398,0.007769881010918889,0.11574088965181195
2022-01-16,B.1.1.529 (Omikron),0.9710907157905793,0.9009081851756503,0.9940545258025884
2022-01-16,B.1.1.7 (Alpha),7.160433932104932e-6,1.094407703171448e-6,3.407920130851406e-5
2022-01-16,B.1.617.2 (Delta),0.028898425038938774,0.005943759596354353,0.09906516277530607
2022-01-17,B.1.1.529 (Omikron),0.9764906828849159,0.9162948913210317,0.99543806785096
2022-01-17,B.1.1.7 (Alpha),5.8331039550415336e-6,8.579249554532687e-7,2.9014469948934965e-5
2022-01-17,B.1.617.2 (Delta),0.0234905352303536,0.004561467807095057,0.08369042967845847
2022-01-18,B.1.1.529 (Omikron),0.980959932195028,0.9295575367989906,0.9964833863110243
2022-01-18,B.1.1.7 (Alpha),4.74184011937875e-6,6.664867664384801e-7,2.4540463412615795e-5
2022-01-18,B.1.617.2 (Delta),0.01903157707887725,0.0035156848810897422,0.07043004173004377
2022-01-19,B.1.1.529 (Omikron),0.9845006312213183,0.9403628462587867,0.9972894161007837
2022-01-19,B.1.1.7 (Alpha),3.880405892394165e-6,5.225383463437334e-7,2.085179570606285e-5
